Seq No,intnum,persnum,age,educatn,earnings,hours,kids,married,kidsNew,marriedNew
1241,1920,4,33,16.0,34000,2600,0,never married,k1,m2
1242,1920,5,31,12.0,24000,2167,0,married,k1,m1
1243,1925,170,41,17.0,0,0,2,married,k1,m1
1244,1926,3,31,16.0,27900,1944,2,married,k1,m1
1245,1930,4,42,12.0,35000,2250,0,never married,k1,m2
1246,1930,5,39,12.0,8000,929,2,married,k1,m1
1247,1930,170,45,16.0,25000,2440,2,married,k1,m1
1248,1930,171,47,12.0,0,0,2,married,k1,m1
1249,1932,3,40,12.0,2550,2012,2,married,k1,m1
1250,1932,173,34,12.0,30000,2033,2,married,k1,m1
1251,1933,3,44,13.0,0,0,0,divorced,k1,m2
1252,1936,2,50,12.0,25000,1840,3,married,k2,m1
1253,1936,173,38,13.0,28000,1932,0,married,k1,m1
1254,1939,2,45,13.0,24000,1862,4,married,k2,m1
1255,1945,170,46,14.0,325,1920,2,divorced,k1,m2
1256,1945,171,46,14.0,16298,1984,3,married,k2,m1
1257,1945,176,39,14.0,26000,2040,2,married,k1,m1
1258,1947,3,32,17.0,20000,659,1,married,k1,m1
1259,1948,3,41,17.0,110000,302,2,married,k1,m1
1260,1950,171,45,17.0,76000,2430,0,married,k1,m1
1261,1955,170,33,12.0,30000,1978,0,married,k1,m1
1262,1959,170,44,17.0,0,0,0,married,k1,m1
1263,1959,171,34,17.0,975,196,1,married,k1,m1
1264,1960,4,41,17.0,11900,1491,2,divorced,k1,m2
1265,1960,171,49,16.0,0,0,3,married,k2,m1
1266,1960,175,42,17.0,83500,2249,0,divorced,k1,m2
1267,1961,170,44,12.0,773,72,2,married,k1,m1
1268,1962,176,39,12.0,14500,2172,3,married,k2,m1
1269,1964,2,48,12.0,2000,827,4,married,k2,m1
1270,1965,5,35,16.0,51000,2016,1,married,k1,m1
1271,1967,3,41,12.0,29487,2160,2,married,k1,m1
1272,1970,170,41,13.0,0,0,2,married,k1,m1
1273,1971,3,40,12.0,6000,900,0,married,k1,m1
1274,1971,173,33,12.0,13000,2007,1,married,k1,m1
1275,1971,174,37,12.0,12000,3120,3,married,k2,m1
1276,1972,2,45,14.0,26500,1923,1,married,k1,m1
1277,1972,171,46,16.0,0,0,0,married,k1,m1
1278,1973,2,45,17.0,7000,1517,3,married,k2,m1
1279,1973,174,33,16.0,15500,1976,2,married,k1,m1
1280,1975,4,34,17.0,0,0,4,married,k2,m1
1281,1975,171,44,14.0,9000,1192,0,married,k1,m1
1282,1977,172,50,13.0,600,61,0,married,k1,m1
1283,1978,2,45,12.0,25000,2550,2,divorced,k1,m2
1284,1979,3,43,9.0,10602,1092,1,married,k1,m1
1285,1981,3,35,14.0,0,0,1,never married,k1,m2
1286,1981,173,34,12.0,11000,1867,2,divorced,k1,m2
1287,1985,173,32,16.0,25179,1213,2,married,k1,m1
1288,1988,170,42,12.0,12000,1928,2,married,k1,m1
1289,1994,5,35,15.0,7000,448,3,widowed,k2,m2
1290,1995,2,44,14.0,6000,835,1,divorced,k1,m2
1291,2000,3,41,12.0,13000,1984,2,married,k1,m1
1292,2003,171,47,13.0,11000,1440,4,married,k2,m1
1293,2004,5,35,12.0,4500,1040,2,married,k1,m1
1294,2004,172,37,12.0,55000,1944,2,married,k1,m1
1295,2005,2,47,12.0,24000,2008,1,married,k1,m1
1298,2011,5,31,14.0,6904,1225,4,married,k2,m1
1299,2011,172,32,10.0,19000,1804,2,divorced,k1,m2
1300,2011,174,32,12.0,23000,2614,2,married,k1,m1
1301,2012,2,47,12.0,11000,1704,3,married,k2,m1
1302,2016,3,40,17.0,20000,1542,0,never married,k1,m2
1303,2016,4,40,16.0,12180,2030,2,married,k1,m1
1304,2016,6,30,12.0,32000,2066,2,divorced,k1,m2
1305,2017,2,48,12.0,7850,2600,3,married,k2,m1
1306,2017,172,31,12.0,150,130,2,married,k1,m1
1307,2019,4,33,12.0,0,0,1,married,k1,m1
1308,2019,171,49,12.0,8486,480,2,married,k1,m1
1309,2019,175,31,14.0,24000,1976,0,married,k1,m1
1310,2022,21,43,17.0,39500,2450,0,married,k1,m1
1311,2022,170,39,16.0,36000,1776,2,married,k1,m1
1312,2023,1,46,16.0,12000,1213,1,divorced,k1,m2
1313,2028,2,44,12.0,33000,1864,2,married,k1,m1
1314,2030,3,44,16.0,31000,1920,2,divorced,k1,m2
1315,2030,4,41,17.0,2100,104,2,separated,k1,m2
1316,2030,6,40,16.0,2000,243,3,married,k2,m1
1317,2030,171,35,15.0,25000,2032,2,divorced,k1,m2
1318,2030,174,37,16.0,12000,816,2,married,k1,m1
1319,2030,175,36,15.0,7400,1240,0,married,k1,m1
1320,2032,170,32,10.0,4973,630,4,married,k2,m1
1321,2032,171,34,12.0,0,0,3,married,k2,m1
1322,2032,172,30,12.0,15000,1865,2,separated,k1,m2
1323,2033,174,45,12.0,12500,2000,2,married,k1,m1
1325,2034,2,49,12.0,9862,1716,3,married,k2,m1
1326,2034,174,31,12.0,22000,2000,2,married,k1,m1
1327,2044,170,47,12.0,30000,1920,0,never married,k1,m2
1328,2046,1,46,16.0,0,0,2,married,k1,m1
1329,2047,5,38,12.0,24160,1175,2,married,k1,m1
1331,2050,172,38,16.0,12000,208,2,married,k1,m1
1332,2051,170,46,13.0,18000,2000,3,married,k2,m1
1333,2053,4,33,12.0,0,0,2,married,k1,m1
1334,2053,172,38,16.0,15083,686,2,married,k1,m1
1335,2054,3,36,17.0,28400,1856,1,married,k1,m1
1336,2055,2,47,12.0,26758,2756,3,married,k2,m1
1337,2056,2,42,10.0,0,0,4,widowed,k2,m2
1338,2059,170,41,12.0,17000,2640,2,married,k1,m1
1339,2059,172,43,14.0,15000,1540,2,married,k1,m1
1340,2059,173,44,12.0,0,0,0,married,k1,m1
1341,2060,3,32,17.0,30000,2025,1,married,k1,m1
1342,2061,2,43,13.0,37400,1702,3,separated,k2,m2
1344,2062,4,34,12.0,14480,2181,3,married,k2,m1
1345,2062,5,32,12.0,11500,1500,4,married,k2,m1
1346,2062,170,40,12.0,15000,2016,3,married,k2,m1
1347,2062,174,39,12.0,38000,1920,2,married,k1,m1
1348,2067,170,41,12.0,14000,2040,3,married,k2,m1
1349,2067,180,36,12.0,20000,2024,2,married,k1,m1
1350,2067,184,43,12.0,19200,1470,3,married,k2,m1
1351,2067,188,32,16.0,30000,1139,2,married,k1,m1
1352,2068,1,47,16.0,35116,1917,0,married,k1,m1
1353,2073,2,37,13.0,0,0,2,never married,k1,m2
1354,2073,3,36,12.0,800,476,2,never married,k1,m2
1355,2075,2,41,14.0,26000,1887,2,widowed,k1,m2
1356,2075,3,39,13.0,32000,2058,2,separated,k1,m2
1357,2078,2,45,12.0,14000,1205,3,married,k2,m1
1358,2079,170,37,10.0,1111,222,3,divorced,k2,m2
1359,2079,171,42,12.0,500,438,0,married,k1,m1
1360,2079,175,41,12.0,0,0,4,married,k2,m1
1361,2079,180,37,12.0,15000,1936,0,married,k1,m1
1362,2080,2,46,12.0,7086,1446,2,married,k1,m1
1363,2083,171,33,12.0,21000,1840,0,married,k1,m1
1364,2088,4,30,14.0,15000,803,2,married,k1,m1
1365,2088,171,31,16.0,1395,174,2,married,k1,m1
1366,2090,3,44,14.0,56000,1930,0,married,k1,m1
1367,2092,170,49,16.0,20000,1880,0,married,k1,m1
1368,2095,170,41,16.0,6819,742,2,married,k1,m1
1369,2095,177,35,12.0,2700,650,3,married,k2,m1
1370,2103,170,37,12.0,30000,1028,0,married,k1,m1
1371,2104,170,30,14.0,10000,2550,2,married,k1,m1
1372,2104,172,31,12.0,10080,2400,5,divorced,k2,m2
1374,2106,2,46,15.0,5000,1660,3,widowed,k2,m2
1376,2108,3,35,12.0,11000,863,3,divorced,k2,m2
1377,2109,2,32,16.0,70000,2500,2,separated,k1,m2
1378,2117,3,32,14.0,13000,1225,1,married,k1,m1
1379,2119,4,43,12.0,750,1352,2,married,k1,m1
1380,2119,172,44,12.0,46000,2750,2,married,k1,m1
1381,2119,173,34,14.0,18000,1992,2,married,k1,m1
1382,2125,4,35,13.0,42906,2200,2,married,k1,m1
1383,2125,5,34,12.0,29000,2060,1,married,k1,m1
1384,2125,6,32,12.0,4000,1430,2,married,k1,m1
1385,2126,170,46,17.0,800,100,3,married,k2,m1
1386,2127,4,31,12.0,17000,3086,0,never married,k1,m2
1387,2128,3,41,12.0,21866,1518,2,married,k1,m1
1388,2129,3,35,17.0,0,0,1,married,k1,m1
1389,2129,5,33,13.0,0,0,0,married,k1,m1
1390,2129,6,32,12.0,14000,1500,2,married,k1,m1
1391,2129,175,40,14.0,22000,2140,3,divorced,k2,m2
1392,2129,181,31,16.0,26500,1846,2,married,k1,m1
1393,2130,3,39,16.0,25000,3670,2,married,k1,m1
1394,2132,170,49,12.0,22000,2480,2,married,k1,m1
1395,2133,2,47,17.0,38000,2894,2,married,k1,m1
1396,2133,170,46,17.0,26500,802,4,married,k2,m1
1397,2137,171,41,12.0,39000,2320,2,married,k1,m1
1398,2137,172,46,12.0,33000,1864,1,married,k1,m1
1399,2138,4,39,12.0,17800,1883,2,divorced,k1,m2
1400,2138,171,39,15.0,52000,1888,1,married,k1,m1
1401,2138,175,33,12.0,0,0,1,married,k1,m1
1402,2143,3,37,16.0,34000,1952,3,married,k2,m1
1403,2145,172,40,15.0,0,0,0,married,k1,m1
1404,2150,172,31,12.0,2500,762,2,married,k1,m1
1405,2151,3,45,12.0,4600,1330,1,married,k1,m1
1406,2151,5,38,12.0,0,0,4,married,k2,m1
1408,2151,170,50,14.0,12400,1694,3,married,k2,m1
1409,2151,171,42,12.0,43000,2080,2,separated,k1,m2
1410,2151,175,30,12.0,0,0,0,married,k1,m1
1411,2151,177,32,12.0,2000,700,1,married,k1,m1
1412,2157,1,44,10.0,13000,2184,7,married,k2,m1
1413,2164,3,41,15.0,300,80,6,married,k2,m1
1414,2164,4,37,12.0,20000,2000,4,married,k2,m1
1415,2164,174,31,16.0,0,0,1,divorced,k1,m2
1416,2166,170,38,12.0,10212,920,2,married,k1,m1
1417,2170,170,36,16.0,46000,1912,0,married,k1,m1
1418,2170,171,38,16.0,55000,2400,2,married,k1,m1
1419,2175,170,35,16.0,0,0,2,married,k1,m1
1420,2175,171,33,17.0,62000,1470,0,never married,k1,m2
1421,2176,171,44,0.0,0,0,0,never married,k1,m2
1422,2176,175,33,16.0,0,0,2,married,k1,m1
1423,2177,3,37,14.0,22000,1291,3,married,k2,m1
1424,2177,5,33,13.0,65000,1437,0,married,k1,m1
1425,2177,174,39,15.0,60000,360,1,married,k1,m1
1426,2177,177,37,14.0,7000,120,2,married,k1,m1
1427,2177,178,34,16.0,1000,80,1,married,k1,m1
1428,2180,170,46,17.0,39500,1898,2,married,k1,m1
1429,2181,3,50,12.0,24000,1733,1,separated,k1,m2
1430,2181,7,33,11.0,0,0,4,never married,k2,m2
1431,2183,170,50,12.0,53500,2064,2,married,k1,m1
1432,2187,170,40,13.0,25774,2490,2,married,k1,m1
1433,2188,5,31,15.0,7000,680,2,married,k1,m1
1434,2191,4,42,12.0,0,0,3,married,k2,m1
1435,2191,6,39,13.0,14000,1794,1,separated,k1,m2
1436,2191,9,33,12.0,0,0,1,never married,k1,m2
1437,2191,10,31,12.0,2000,1787,2,married,k1,m1
1439,2194,3,37,12.0,26000,2052,3,married,k2,m1
1440,2194,176,36,12.0,20000,2058,0,married,k1,m1
1441,2197,3,42,13.0,0,0,1,married,k1,m1
1443,2198,5,34,17.0,7000,322,2,married,k1,m1
1444,2198,173,37,17.0,20000,710,1,married,k1,m1
1445,2199,3,42,12.0,16500,1960,2,divorced,k1,m2
1446,2199,177,40,12.0,26420,1928,3,married,k2,m1
1447,2201,2,48,12.0,39000,3060,2,divorced,k1,m2
1448,2204,184,35,12.0,0,0,5,divorced,k2,m2
1450,2205,4,44,12.0,10000,1976,0,never married,k1,m2
1451,2205,5,42,12.0,19000,1970,2,married,k1,m1
1452,2206,171,46,16.0,55000,2000,0,married,k1,m1
1453,2206,172,37,16.0,40000,147,1,married,k1,m1
1454,2207,172,31,15.0,30000,1956,2,married,k1,m1
1455,2208,3,38,14.0,4000,320,0,never married,k1,m2
1456,2210,170,48,14.0,11000,795,2,married,k1,m1
1458,2219,170,40,13.0,21000,1600,5,married,k2,m1
1459,2219,173,36,13.0,0,0,0,never married,k1,m2
1460,2222,174,37,16.0,75000,2100,1,married,k1,m1
1461,2224,4,44,13.0,48000,1829,3,divorced,k2,m2
1462,2224,6,36,12.0,22000,916,2,married,k1,m1
1463,2224,174,41,13.0,4000,216,4,married,k2,m1
1464,2224,177,41,14.0,50000,2229,2,married,k1,m1
1465,2224,184,31,16.0,31000,1940,3,married,k2,m1
1466,2225,4,36,16.0,2500,117,2,married,k1,m1
1467,2225,170,36,13.0,9600,1198,3,married,k2,m1
1468,2228,3,35,17.0,20000,1617,2,married,k1,m1
1469,2228,4,33,12.0,9500,540,3,married,k2,m1
1470,2228,5,30,17.0,30000,2700,2,married,k1,m1
1471,2229,170,47,12.0,25000,1440,2,married,k1,m1
1472,2232,170,46,17.0,55000,1248,2,married,k1,m1
1473,2232,173,42,17.0,56000,2101,0,married,k1,m1
1474,2238,170,33,17.0,0,0,3,married,k2,m1
1475,2240,172,43,12.0,18000,2080,4,married,k2,m1
1477,2244,170,45,16.0,1200,213,2,married,k1,m1
1478,2244,172,45,16.0,52500,2450,0,married,k1,m1
1479,2246,3,37,17.0,200000,1729,2,married,k1,m1
1480,2246,5,32,16.0,39000,1432,0,married,k1,m1
1481,2246,176,31,10.0,0,0,1,divorced,k1,m2
1483,2248,1,42,12.0,15000,1477,4,married,k2,m1
1484,2250,6,38,12.0,6000,2348,4,married,k2,m1
1485,2250,7,34,12.0,21900,1921,3,married,k2,m1
1486,2250,170,40,12.0,12500,2156,3,married,k2,m1
1487,2250,171,43,12.0,42000,1880,3,married,k2,m1
1488,2250,173,39,16.0,5000,768,2,married,k1,m1
1489,2251,3,40,16.0,29000,1572,5,married,k2,m1
1490,2251,5,33,13.0,0,0,3,married,k2,m1
1491,2251,170,38,12.0,2650,384,2,married,k1,m1
1492,2253,3,43,16.0,26150,1761,0,never married,k1,m2
1493,2253,170,39,12.0,5528,498,3,married,k2,m1
1494,2255,2,44,14.0,15600,1470,3,married,k2,m1
1495,2256,2,46,16.0,22000,1440,2,married,k1,m1
1496,2256,170,40,17.0,400,80,0,married,k1,m1
1497,2258,2,49,12.0,0,0,2,married,k1,m1
1498,2260,6,31,13.0,6000,2028,3,married,k2,m1
1499,2260,171,30,12.0,13000,1742,2,married,k1,m1
1500,2261,170,42,12.0,18000,2000,0,married,k1,m1
1501,2261,172,35,12.0,8000,2500,2,married,k1,m1
1502,2263,22,44,16.0,37730,1800,1,divorced,k1,m2
1503,2269,172,42,17.0,48000,1940,0,married,k1,m1
1504,2271,3,31,15.0,1600,390,3,married,k2,m1
1505,2272,2,45,11.0,18253,1880,3,married,k2,m1
1506,2273,171,36,16.0,20000,1000,0,married,k1,m1
1507,2278,3,45,12.0,7000,1442,2,married,k1,m1
1508,2278,4,43,12.0,12000,3300,3,married,k2,m1
1509,2278,5,42,12.0,19800,2042,2,married,k1,m1
1511,2280,2,38,14.0,10000,1976,3,married,k2,m1
1512,2280,5,34,16.0,12000,1536,0,never married,k1,m2
1513,2280,172,35,15.0,0,0,4,married,k2,m1
1514,2280,173,34,15.0,10800,1710,5,married,k2,m1
1515,2280,175,34,15.0,4000,1143,3,married,k2,m1
1516,2281,2,47,12.0,23000,1960,2,married,k1,m1
1518,2282,173,34,0.0,0,0,2,divorced,k1,m2
1519,2285,6,43,17.0,14500,876,3,widowed,k2,m2
1520,2285,174,38,16.0,0,0,3,married,k2,m1
1521,2285,175,34,16.0,4000,360,2,married,k1,m1
1522,2288,4,37,12.0,0,0,2,married,k1,m1
1523,2288,5,35,13.0,8000,1480,1,divorced,k1,m2
1524,2288,170,48,17.0,34600,2640,2,divorced,k1,m2
1525,2288,176,45,16.0,68000,2406,0,divorced,k1,m2
1526,2290,172,30,14.0,600,1560,1,married,k1,m1
1527,2292,3,36,12.0,1800,1360,3,married,k2,m1
1528,2292,5,32,9.0,3500,104,2,divorced,k1,m2
1529,2292,173,49,12.0,16578,751,5,married,k2,m1
1530,2297,3,43,12.0,5000,2500,3,married,k2,m1
1531,2297,4,38,12.0,23500,2250,1,married,k1,m1
1532,2299,170,41,16.0,21500,2000,3,married,k2,m1
1533,2299,171,39,16.0,11500,983,0,married,k1,m1
1534,2299,172,39,16.0,33325,1951,2,married,k1,m1
1535,2302,8,33,8.0,0,0,4,married,k2,m1
1537,2302,172,36,12.0,9000,825,2,married,k1,m1
1538,2302,173,44,8.0,0,0,3,married,k2,m1
1539,2302,177,34,12.0,7000,1733,2,married,k1,m1
1540,2302,189,31,12.0,15000,1907,2,married,k1,m1
1541,2304,3,44,16.0,41084,1960,2,married,k1,m1
1542,2304,4,30,17.0,24996,1880,1,married,k1,m1
1543,2305,2,50,16.0,0,0,2,divorced,k1,m2
1544,2307,170,47,17.0,56000,2249,0,married,k1,m1
1545,2308,170,46,16.0,44500,2156,0,married,k1,m1
1546,2311,3,38,12.0,16000,1680,3,married,k2,m1
1547,2312,170,44,15.0,32000,1848,2,married,k1,m1
1548,2321,172,35,12.0,13500,1992,2,married,k1,m1
1550,2323,2,47,10.0,0,0,5,widowed,k2,m2
1551,2326,21,43,17.0,30000,1050,3,married,k2,m1
1552,2326,171,43,14.0,14000,2530,3,married,k2,m1
1553,2326,172,37,16.0,30000,2450,2,married,k1,m1
1554,2327,3,39,12.0,38000,2040,3,divorced,k2,m2
1555,2330,2,49,13.0,48000,2133,2,divorced,k1,m2
1556,2334,170,42,12.0,0,0,2,married,k1,m1
1557,2334,171,43,12.0,29000,1844,2,married,k1,m1
1558,2335,2,47,12.0,23391,1775,3,married,k2,m1
1559,2336,21,47,17.0,42000,1800,2,married,k1,m1
1560,2338,170,41,13.0,19300,1355,0,married,k1,m1
1561,2339,4,38,14.0,17437,1896,1,married,k1,m1
1562,2339,174,41,12.0,15300,2064,2,married,k1,m1
1563,2345,4,34,13.0,20000,1984,3,married,k2,m1
1564,2352,170,30,15.0,0,0,3,married,k2,m1
1565,2353,171,30,17.0,54000,2160,3,married,k2,m1
1566,2353,172,32,16.0,6000,800,4,married,k2,m1
1567,2353,173,42,16.0,27000,2000,0,married,k1,m1
1570,2355,174,30,14.0,12500,1570,3,divorced,k2,m2
1571,2357,2,49,12.0,0,0,2,married,k1,m1
1572,2366,2,46,13.0,30000,3096,3,divorced,k2,m2
1573,2373,3,43,12.0,36000,1852,1,married,k1,m1
1574,2377,3,43,17.0,0,0,2,married,k1,m1
1575,2379,170,34,12.0,15000,1850,1,married,k1,m1
1576,2380,3,39,14.0,22000,1344,2,married,k1,m1
1577,2380,170,37,14.0,18851,2911,2,divorced,k1,m2
1578,2380,175,38,12.0,2000,843,5,married,k2,m1
1579,2391,170,39,12.0,12000,2080,3,married,k2,m1
1580,2392,2,49,7.0,8536,1307,6,married,k2,m1
1581,2397,170,38,12.0,15000,1500,3,married,k2,m1
1582,2397,171,44,13.0,0,0,3,married,k2,m1
1584,2409,4,39,12.0,0,0,1,married,k1,m1
1585,2410,2,49,12.0,8500,332,2,married,k1,m1
1586,2412,2,47,12.0,10899,1828,3,married,k2,m1
1587,2416,170,37,12.0,7000,1952,3,married,k2,m1
1588,2416,171,39,14.0,17414,1470,2,married,k1,m1
1590,2417,5,30,12.0,12000,1600,0,never married,k1,m2
1591,2418,3,39,9.0,3400,693,3,separated,k2,m2
1592,2418,4,38,12.0,4500,1500,1,married,k1,m1
1593,2418,173,34,12.0,1800,256,1,married,k1,m1
1594,2422,3,41,12.0,3000,1669,4,married,k2,m1
1595,2422,171,34,12.0,4200,499,3,married,k2,m1
1596,2422,173,34,14.0,29500,2000,1,married,k1,m1
1597,2424,2,47,12.0,7000,1866,1,married,k1,m1
1598,2425,2,44,12.0,5500,3060,2,separated,k1,m2
1599,2427,170,39,16.0,27000,260,2,married,k1,m1
1600,2427,171,37,16.0,10000,1950,3,married,k2,m1
1601,2429,3,39,10.0,0,0,2,married,k1,m1
1602,2429,4,37,12.0,8921,1864,2,married,k1,m1
1603,2429,5,34,12.0,32000,2805,2,married,k1,m1
1604,2429,6,32,14.0,18000,2083,1,married,k1,m1
1605,2429,7,31,12.0,6500,1326,2,married,k1,m1
1606,2431,10,44,14.0,13000,1470,0,married,k1,m1
1607,2432,3,41,12.0,700,607,4,separated,k2,m2
1608,2432,4,40,14.0,0,0,4,married,k2,m1
1609,2434,2,47,12.0,4000,2080,2,married,k1,m1
1610,2435,6,31,13.0,26000,2048,0,divorced,k1,m2
1611,2435,172,32,12.0,8000,1060,1,married,k1,m1
1612,2435,175,30,12.0,5000,723,2,married,k1,m1
1613,2436,5,35,12.0,0,0,2,married,k1,m1
1614,2436,170,38,16.0,34000,1578,3,separated,k2,m2
1615,2441,3,31,10.0,16000,1284,3,married,k2,m1
1616,2443,175,33,16.0,11500,2450,5,married,k2,m1
1617,2444,3,30,14.0,21300,2060,0,never married,k1,m2
1618,2455,4,50,17.0,74200,2117,2,divorced,k1,m2
1619,2455,6,48,17.0,63000,1280,1,married,k1,m1
1620,2455,171,43,17.0,52000,1536,0,married,k1,m1
1621,2457,170,34,17.0,87000,1969,0,married,k1,m1
1622,2458,3,42,13.0,8000,796,3,married,k2,m1
1623,2458,171,38,14.0,10400,816,2,married,k1,m1
1624,2461,2,49,14.0,24095,1960,3,married,k2,m1
1625,2464,170,33,12.0,33000,2041,2,divorced,k1,m2
1626,2464,172,34,12.0,40000,2142,0,married,k1,m1
1627,2466,4,42,17.0,36600,2003,0,never married,k1,m2
1628,2466,5,40,17.0,9000,658,2,married,k1,m1
1629,2466,170,43,16.0,2500,337,3,married,k2,m1
1630,2467,170,43,16.0,18000,1992,4,married,k2,m1
1631,2468,2,46,12.0,0,0,2,married,k1,m1
1632,2469,4,37,16.0,3000,607,2,married,k1,m1
1633,2469,170,43,16.0,21500,1472,1,married,k1,m1
1634,2472,170,33,13.0,24000,1745,2,separated,k1,m2
1635,2472,173,32,14.0,8000,1693,2,never married,k1,m2
1636,2473,170,32,14.0,12000,1597,3,married,k2,m1
1637,2474,170,44,13.0,10000,1836,4,married,k2,m1
1638,2475,170,35,16.0,20000,1566,2,married,k1,m1
1639,2478,3,38,14.0,34000,2220,1,divorced,k1,m2
1640,2478,4,31,12.0,12000,1656,2,married,k1,m1
1641,2483,4,41,12.0,6000,1560,4,divorced,k2,m2
1642,2485,3,34,12.0,0,0,1,married,k1,m1
1643,2485,170,42,14.0,0,0,2,married,k1,m1
1645,2486,3,45,12.0,9784,911,3,widowed,k2,m2
1646,2486,4,41,13.0,6100,1075,1,married,k1,m1
1647,2486,183,30,12.0,3400,3430,3,married,k2,m1
1649,2487,2,45,11.0,0,0,2,divorced,k1,m2
1650,2487,170,43,12.0,5600,640,1,married,k1,m1
1651,2490,2,44,12.0,0,0,3,married,k2,m1
1652,2492,2,48,10.0,0,0,3,separated,k2,m2
1654,2496,21,48,17.0,35360,1840,0,never married,k1,m2
1655,2497,4,41,14.0,0,0,0,married,k1,m1
1656,2498,1,45,12.0,29473,1938,0,never married,k1,m2
1657,2500,3,41,12.0,36000,1940,2,married,k1,m1
1658,2500,21,44,17.0,30000,1424,0,married,k1,m1
1659,2500,172,30,13.0,17000,2205,0,married,k1,m1
1660,2501,170,50,12.0,25000,2107,2,married,k1,m1
1661,2502,3,36,12.0,0,0,2,married,k1,m1
1662,2502,171,31,12.0,0,0,3,married,k2,m1
1663,2503,2,46,12.0,4500,1300,2,married,k1,m1
1664,2506,6,35,12.0,4200,1712,0,never married,k1,m2
1665,2506,7,34,17.0,2500,480,1,divorced,k1,m2
1666,2508,3,45,17.0,42000,1480,0,NA/DF,k1,m2
1667,2509,3,37,16.0,17000,560,2,married,k1,m1
1668,2509,6,32,16.0,33000,3341,1,married,k1,m1
1669,2509,21,46,17.0,5000,2714,2,married,k1,m1
1670,2509,170,42,13.0,2700,1680,2,married,k1,m1
1671,2509,171,38,13.0,22100,960,3,married,k2,m1
1672,2509,173,37,17.0,18000,918,2,married,k1,m1
1673,2510,170,34,12.0,7000,832,2,married,k1,m1
1674,2510,172,32,16.0,31000,1864,1,married,k1,m1
1675,2515,5,38,12.0,24600,2180,2,separated,k1,m2
1676,2515,6,34,12.0,60,60,3,married,k2,m1
1677,2515,172,39,12.0,14000,2859,2,divorced,k1,m2
1678,2515,173,42,12.0,6000,1920,0,married,k1,m1
1679,2515,176,43,13.0,9667,693,1,married,k1,m1
1680,2516,4,30,12.0,7800,2033,2,separated,k1,m2
1681,2518,174,37,14.0,13000,1927,0,married,k1,m1
1682,2521,170,43,12.0,25500,2072,2,divorced,k1,m2
1683,2521,171,41,17.0,20000,1440,2,married,k1,m1
1685,2525,174,30,14.0,26400,2245,0,married,k1,m1
1686,2526,3,37,12.0,22000,1948,2,married,k1,m1
1687,2526,4,35,12.0,27000,2295,2,married,k1,m1
1688,2529,174,32,16.0,48823,2352,0,married,k1,m1
1689,2530,5,38,12.0,15000,1960,3,married,k2,m1
1690,2530,170,36,12.0,24000,1864,2,divorced,k1,m2
1691,2530,178,41,12.0,33000,2090,1,married,k1,m1
1692,2532,3,36,15.0,0,0,3,married,k2,m1
1693,2533,170,40,17.0,54675,1944,0,married,k1,m1
1694,2537,170,45,16.0,11000,1357,3,married,k2,m1
1695,2537,177,43,9.0,0,0,0,widowed,k1,m2
1696,2538,21,45,17.0,0,0,2,married,k1,m1
1697,2539,5,35,12.0,3089,751,3,married,k2,m1
1698,2541,3,41,17.0,90000,2550,0,never married,k1,m2
1699,2541,175,33,16.0,15000,2340,0,never married,k1,m2
1700,2545,4,49,12.0,0,0,2,separated,k1,m2
1701,2547,3,31,14.0,0,0,1,married,k1,m1
1702,2557,5,36,12.0,4507,406,2,never married,k1,m2
1703,2557,6,33,13.0,23000,1728,1,never married,k1,m2
1704,2566,171,35,12.0,3000,650,5,married,k2,m1
1705,2569,3,46,12.0,1831,173,2,divorced,k1,m2
1706,2569,6,38,12.0,3400,833,2,married,k1,m1
1707,2569,170,42,15.0,21000,1728,2,married,k1,m1
1708,2574,170,39,14.0,24500,1969,1,married,k1,m1
1709,2576,3,39,16.0,8000,1280,4,married,k2,m1
1710,2578,177,41,16.0,34000,1938,1,never married,k1,m2
1711,2579,170,46,12.0,10500,2016,3,married,k2,m1
1712,2581,170,38,14.0,25000,2176,2,married,k1,m1
1713,2586,3,39,16.0,41500,1920,0,never married,k1,m2
1714,2586,172,35,16.0,40000,2408,0,married,k1,m1
1715,2586,173,33,16.0,0,0,4,married,k2,m1
1716,2586,176,36,15.0,0,0,3,married,k2,m1
1717,2587,3,43,10.0,10000,2184,1,divorced,k1,m2
1718,2587,6,35,12.0,24000,1920,2,married,k1,m1
1719,2587,7,34,12.0,20000,2228,4,married,k2,m1
1720,2589,3,35,14.0,2400,104,2,married,k1,m1
1721,2590,5,36,12.0,21000,2040,2,married,k1,m1
1722,2590,170,41,14.0,26988,2016,2,married,k1,m1
1723,2590,171,38,12.0,0,0,1,married,k1,m1
1724,2590,172,39,13.0,3000,604,5,married,k2,m1
1725,2591,5,35,14.0,38000,2336,3,divorced,k2,m2
1726,2591,170,37,14.0,21000,2008,1,married,k1,m1
1727,2591,173,34,12.0,4039,421,2,married,k1,m1
1728,2594,3,40,13.0,5000,456,2,never married,k1,m2
1729,2599,3,44,14.0,23000,2016,2,married,k1,m1
1730,2601,4,38,16.0,950,141,3,married,k2,m1
1731,2601,5,35,15.0,0,0,3,married,k2,m1
1732,2601,6,32,16.0,64000,920,0,married,k1,m1
1733,2601,171,39,17.0,36500,1560,3,married,k2,m1
1734,2603,3,41,12.0,12600,1938,1,married,k1,m1
